Period,Ratio,Group,Keyword,Gender
2018-06-01,13.45942,20,유산균,Male
2018-06-01,25.61487,30,유산균,Male
2018-06-01,16.87431,40,유산균,Male
2018-06-01,4.49938,50,유산균,Male
2018-06-01,1.88496,60,유산균,Male
2018-07-01,1.06513,10,유산균,Male
2018-07-01,16.34497,20,유산균,Male
2018-07-01,29.33316,30,유산균,Male
2018-07-01,17.27454,40,유산균,Male
2018-07-01,6.26815,50,유산균,Male
2018-07-01,2.66606,60,유산균,Male
2018-08-01,1.33625,10,유산균,Male
2018-08-01,19.39836,20,유산균,Male
2018-08-01,33.82609,30,유산균,Male
2018-08-01,19.07559,40,유산균,Male
2018-08-01,6.44245,50,유산균,Male
2018-08-01,2.3562,60,유산균,Male
2018-09-01,1.51055,10,유산균,Male
2018-09-01,21.40597,20,유산균,Male
2018-09-01,35.56904,30,유산균,Male
2018-09-01,24.13014,40,유산균,Male
2018-09-01,8.72119,50,유산균,Male
2018-09-01,2.67897,60,유산균,Male
2018-10-01,1.83977,10,유산균,Male
2018-10-01,21.85139,20,유산균,Male
2018-10-01,35.45929,30,유산균,Male
2018-10-01,23.08437,40,유산균,Male
2018-10-01,7.5334,50,유산균,Male
2018-10-01,2.75643,60,유산균,Male
2018-11-01,1.05867,10,유산균,Male
2018-11-01,19.74049,20,유산균,Male
2018-11-01,33.98102,30,유산균,Male
2018-11-01,21.42534,40,유산균,Male
2018-11-01,7.27519,50,유산균,Male
2018-11-01,2.59505,60,유산균,Male
2018-12-01,1.33625,10,유산균,Male
2018-12-01,17.18417,20,유산균,Male
2018-12-01,33.44522,30,유산균,Male
2018-12-01,19.50164,40,유산균,Male
2018-12-01,6.64256,50,유산균,Male
2018-12-01,4.04105,60,유산균,Male
2019-01-01,0.63908,10,유산균,Male
2019-01-01,17.44884,20,유산균,Male
2019-01-01,38.26092,30,유산균,Male
2019-01-01,26.4928,40,유산균,Male
2019-01-01,9.76696,50,유산균,Male
2019-01-01,5.33212,60,유산균,Male
2019-02-01,0.63262,10,유산균,Male
2019-02-01,16.09321,20,유산균,Male
2019-02-01,35.63359,30,유산균,Male
2019-02-01,25.66006,40,유산균,Male
2019-02-01,10.57388,50,유산균,Male
2019-02-01,5.04809,60,유산균,Male
2019-03-01,0.81337,10,유산균,Male
2019-03-01,22.75514,20,유산균,Male
2019-03-01,55.13523,30,유산균,Male
2019-03-01,37.69285,40,유산균,Male
2019-03-01,13.05919,50,유산균,Male
2019-03-01,4.55748,60,유산균,Male
2019-04-01,0.4325,10,유산균,Male
2019-04-01,19.24343,20,유산균,Male
2019-04-01,43.78025,30,유산균,Male
2019-04-01,26.14421,40,유산균,Male
2019-04-01,9.87024,50,유산균,Male
2019-04-01,4.42837,60,유산균,Male
2019-05-01,0.61971,10,유산균,Male
2019-05-01,18.60435,20,유산균,Male
2019-05-01,43.85126,30,유산균,Male
2019-05-01,29.17177,40,유산균,Male
2019-05-01,9.18597,50,유산균,Male
2019-05-01,3.86676,60,유산균,Male
2019-06-01,0.71008,10,유산균,Male
2019-06-01,17.37783,20,유산균,Male
2019-06-01,40.70105,30,유산균,Male
2019-06-01,28.28093,40,유산균,Male
2019-06-01,9.77341,50,유산균,Male
2019-06-01,4.2218,60,유산균,Male
2019-07-01,0.5487,10,유산균,Male
2019-07-01,18.70118,20,유산균,Male
2019-07-01,38.99683,30,유산균,Male
2019-07-01,27.58375,40,유산균,Male
2019-07-01,9.23762,50,유산균,Male
2019-07-01,3.92485,60,유산균,Male
2019-08-01,0.9102,10,유산균,Male
2019-08-01,24.02039,20,유산균,Male
2019-08-01,52.52727,30,유산균,Male
2019-08-01,31.29559,40,유산균,Male
2019-08-01,10.81272,50,유산균,Male
2019-08-01,4.93189,60,유산균,Male
2019-09-01,1.03931,10,유산균,Male
2019-09-01,27.77741,20,유산균,Male
2019-09-01,52.21096,30,유산균,Male
2019-09-01,35.38183,40,유산균,Male
2019-09-01,12.69124,50,유산균,Male
2019-09-01,5.19656,60,유산균,Male
2019-10-01,1.00703,10,유산균,Male
2019-10-01,24.69175,20,유산균,Male
2019-10-01,51.49441,30,유산균,Male
2019-10-01,32.43818,40,유산균,Male
2019-10-01,12.93008,50,유산균,Male
2019-10-01,4.55748,60,유산균,Male
2019-11-01,0.92957,10,유산균,Male
2019-11-01,23.30385,20,유산균,Male
2019-11-01,49.72564,30,유산균,Male
2019-11-01,32.04441,40,유산균,Male
2019-11-01,11.10322,50,유산균,Male
2019-11-01,5.41604,60,유산균,Male
2019-12-01,1.09095,10,유산균,Male
2019-12-01,26.98986,20,유산균,Male
2019-12-01,49.37705,30,유산균,Male
2019-12-01,32.14124,40,유산균,Male
2019-12-01,12.12962,50,유산균,Male
2019-12-01,5.16428,60,유산균,Male
2020-01-01,0.9683,10,유산균,Male
2020-01-01,22.8197,20,유산균,Male
2020-01-01,53.26318,30,유산균,Male
2020-01-01,38.01562,40,유산균,Male
2020-01-01,11.94887,50,유산균,Male
2020-01-01,5.4806,60,유산균,Male
2020-02-01,0.9683,10,유산균,Male
2020-02-01,23.51688,20,유산균,Male
2020-02-01,52.58537,30,유산균,Male
2020-02-01,37.77677,40,유산균,Male
2020-02-01,12.37492,50,유산균,Male
2020-02-01,6.65547,60,유산균,Male
2020-03-01,1.16196,10,유산균,Male
2020-03-01,31.56671,20,유산균,Male
2020-03-01,65.93505,30,유산균,Male
2020-03-01,50.26789,40,유산균,Male
2020-03-01,15.89309,50,유산균,Male
2020-03-01,7.56568,60,유산균,Male
2020-04-01,1.43954,10,유산균,Male
2020-04-01,32.2768,20,유산균,Male
2020-04-01,66.80007,30,유산균,Male
2020-04-01,51.13291,40,유산균,Male
2020-04-01,16.71938,50,유산균,Male
2020-04-01,8.47588,60,유산균,Male
2020-05-01,1.34917,10,유산균,Male
2020-05-01,33.70989,20,유산균,Male
2020-05-01,61.86818,30,유산균,Male
2020-05-01,47.89232,40,유산균,Male
2020-05-01,17.50048,50,유산균,Male
2020-05-01,7.77871,60,유산균,Male
2020-06-01,1.11677,10,유산균,Male
2020-06-01,29.2686,20,유산균,Male
2020-06-01,59.20857,30,유산균,Male
2020-06-01,42.52791,40,유산균,Male
2020-06-01,16.96468,50,유산균,Male
2020-06-01,7.72706,60,유산균,Male
2020-07-01,1.71067,10,유산균,Male
2020-07-01,33.116,20,유산균,Male
2020-07-01,67.49725,30,유산균,Male
2020-07-01,49.60945,40,유산균,Male
2020-07-01,20.29565,50,유산균,Male
2020-07-01,8.40488,60,유산균,Male
2020-08-01,1.69775,10,유산균,Male
2020-08-01,33.97456,20,유산균,Male
2020-08-01,65.21851,30,유산균,Male
2020-08-01,50.06778,40,유산균,Male
2020-08-01,19.52101,50,유산균,Male
2020-08-01,8.96004,60,유산균,Male
2020-09-01,1.86559,10,유산균,Male
2020-09-01,36.3114,20,유산균,Male
2020-09-01,67.12284,30,유산균,Male
2020-09-01,54.68336,40,유산균,Male
2020-09-01,19.62429,50,유산균,Male
2020-09-01,8.81156,60,유산균,Male
2020-10-01,1.27816,10,유산균,Male
2020-10-01,32.41882,20,유산균,Male
2020-10-01,66.84526,30,유산균,Male
2020-10-01,51.66225,40,유산균,Male
2020-10-01,20.41185,50,유산균,Male
2020-10-01,9.36672,60,유산균,Male
2020-11-01,1.56865,10,유산균,Male
2020-11-01,31.63772,20,유산균,Male
2020-11-01,71.0477,30,유산균,Male
